ID,Species,BM(g),Sex,Treatment,RMR18C(ml/g/hr),RMR-23C(ml/g/hr),RMR-28C(ml/g/hr),RMR-33C(ml/g/hr),RMR-38C(ml/g/hr),k38/18,Q10,RER-18C,RER-23C,RER-28C,RER-33C,RER-38C
1,T.septentrionalis,5.762,M,cold,0.318172552114767,0.426335206777957,0.699077003071287,0.484323150845874,0.753596876887174,2.3685 ,1.54 ,0.61938203761154,0.729364133901135,0.856520849375233,1.04090357240231,0.97729717711246
2,T.septentrionalis,6.095,M,cold,0.363958028046356,0.278408961140978,0.455301453002385,0.422297460823112,0.990709001740332,2.7220 ,1.65 ,0.82459245682,0.935629197703433,0.976132141649399,1.0162812346985,0.881395324870603
3,T.septentrionalis,5.202,M,cold,0.352960042778817,0.55145709000034,0.610676108586705,0.76520716588725,1.13270016591025,3.2091 ,1.79 ,1.15115011346179,0.879269795259549,0.74215282830572,0.889747794227256,0.849684871317541
4,T.septentrionalis,5.974,M,cold,0.442557022319384,0.613545807221969,0.602090864457572,0.42516164008634,1.16059462302738,2.6225 ,1.62 ,0.862810312452166,0.729776163699715,0.832797746697873,0.865055305414014,1.07592506487686
5,T.septentrionalis,5.911,M,cold,0.347278801138506,0.320914113971123,0.587631851210273,0.769112874208024,0.735033573276186,2.1166 ,1.45 ,0.78754865177315,0.926405605197064,0.962439118676579,0.984175871249302,1.12888555383809
6,T.septentrionalis,6.469,M,cold,0.406972345801682,0.438521340750506,0.733181289840924,0.543554069040018,0.782121860296672,1.9218 ,1.39 ,0.506073908793093,0.877354163689995,0.957661185069172,1.01424624659088,1.03993504945512
7,T.septentrionalis,6.458,M,cold,0.42034221877279,0.281372607164573,0.676203267014546,0.888145036827636,0.6235870704589,1.4835 ,1.22 ,0.711186276168441,0.98138386437397,0.876469400275114,0.824482307674546,0.913165271631807
8,T.septentrionalis,4.369,M,cold,0.378459919045778,0.414309364734289,0.55571315797916,0.641276132327301,0.963144525550599,2.5449 ,1.60 ,0.409649422733605,0.918520303043461,0.981407937354208,1.03442851761917,0.900799740063103
9,T.septentrionalis,6.619,F,cold,0.257360213674247,0.560158394895291,0.517532581475673,0.965694143312049,0.551347993450573,2.1423 ,1.46 ,0.548112793031851,0.855242404654169,0.856197473793763,0.99761099622158,0.959095236507075
10,T.septentrionalis,5.678,F,cold,0.205027803874553,0.250794754459225,0.425263260172464,0.657555579307812,0.588286300939187,2.8693 ,1.69 ,0.721138527919912,0.907459436877658,0.889693941625539,0.835200383394237,0.935840124793073
11,T.septentrionalis,6.068,F,cold,0.0175350065562339,0.356533189160098,0.279255910248812,0.685703219245299,0.849445977596344,48.4429 ,6.96 ,0.806885740826753,1.02284578022256,0.896022436405019,0.96486666917665,0.864969907129528
12,T.septentrionalis,4.844,F,cold,0.176020188180305,0.475722582303613,0.265965013360111,0.532547191608749,0.723206612977582,4.1087 ,2.03 ,0.778078424931777,0.944321625436892,0.888937526988006,0.846627998345166,1.14271801804833
13,T.septentrionalis,5,F,cold,0.387131666158806,0.278551724838531,0.307375981329259,0.628679618903103,0.772940026470868,1.9966 ,1.41 ,0.731105554777669,0.803323365435827,0.90102265944659,0.987964320694683,1.15660243347448
14,T.septentrionalis,4.133,F,cold,0.299512230726284,0.377866429691403,0.651989034730662,0.732155614703485,0.731135619904809,2.4411 ,1.56 ,0.849247055281334,0.747153662306301,0.898202383611383,0.878088530601554,1.0983885836157
15,T.septentrionalis,4.751,F,cold,0.325505610764331,0.462974178180689,0.493349851658487,0.761018873157818,0.792596059917245,2.4350 ,1.56 ,0.733257247293614,0.91886221894517,0.951614487020317,0.981495386030861,1.082237620913
16,T.septentrionalis,5.111,F,cold,0.115533631465714,0.421054222516235,0.305206035140902,0.619798024406182,0.580437365339415,5.0240 ,2.24 ,0.886254215342,0.920774191252639,0.8663011100427,1.0548241136925,1.02987963910042
1,T.septentrionalis,5.254,M,warm,0.213267866895381,0.309995942762318,0.504820382920345,0.640843540829459,0.345991426858176,1.6223 ,1.27 ,0.65206858594148,0.99532598040846,0.950445363538305,0.869934769053477,1.04083846524171
2,T.septentrionalis,4.83,M,warm,0.182542194,0.20729167689993,0.416181327776707,0.50501988,0.393275807059038,2.1544 ,1.47 ,0.948359146620664,0.905615813478,0.914930655840575,0.923456178296574,1.10156391404488
3,T.septentrionalis,6.274,M,warm,0.136797679641377,0.228277076221911,0.323599848864114,0.579263597018156,0.645491961935725,4.7186 ,2.17 ,0.656297710122635,0.991248726421349,1.02100771974589,1.0123104106348,0.877897583758432
4,T.septentrionalis,5.782,M,warm,0.144810991211364,0.287476029505106,0.286421279310984,0.451819993692829,0.685458487629175,4.7335 ,2.18 ,0.824735268102618,0.932973554259514,1.01299023682314,0.923123145747313,0.989150277962502
5,T.septentrionalis,4.229,M,warm,0.27431749918548,0.314744199795462,0.451851842868705,0.330236319512005,0.56786313397645,2.0701 ,1.44 ,0.99796068040408,0.845778202772309,0.953877329260951,0.888102834733614,0.890209998547387
